iter	RMSE
0	0.1347604627
1	0.1303434208
2	0.1266516045
3	0.1233932796
4	0.120532348
5	0.1181177312
6	0.1161807795
7	0.1144307824
8	0.1128735336
9	0.1114477528
10	0.11026629
11	0.1093375995
12	0.1084140199
13	0.1077723859
14	0.107150205
15	0.1066798004
16	0.1061898278
17	0.1057704558
18	0.1053644467
19	0.1050657584
20	0.104801884
21	0.1045530387
22	0.1043521255
23	0.1041861828
24	0.1039747029
25	0.1037967246
26	0.1036304848
27	0.1035075278
28	0.103367841
29	0.1032427049
30	0.103136461
31	0.1030252929
32	0.1029359283
33	0.1028639294
34	0.1027870724
35	0.1027008001
36	0.1026117727
37	0.1025204602
38	0.1024381458
39	0.102379739
40	0.102304841
41	0.1022459421
42	0.1021840871
43	0.1021283602
44	0.1020625889
45	0.1019928611
46	0.1019298726
47	0.1018394532
48	0.1017491145
49	0.1016841292
50	0.1016301452
51	0.1015610009
52	0.10151433
53	0.1014707107
54	0.1014251783
55	0.1013854138
56	0.1013530037
57	0.1013238372
58	0.1012957046
59	0.1012391883
60	0.1012023428
61	0.1011609081
62	0.1011310352
63	0.1010841898
64	0.1010420129
65	0.1009876434
66	0.1009475879
67	0.1009187622
68	0.1008765667
69	0.1008221332
70	0.1007892513
71	0.1007541188
72	0.1007134039
73	0.1006819498
74	0.1006009234
75	0.1005600837
76	0.100508839
77	0.1004630705
78	0.1003931839
79	0.1003652679
80	0.1003273702
81	0.1002928743
82	0.1002566298
83	0.1002255747
84	0.1001878584
85	0.1001624448
86	0.1001308578
87	0.1000950631
88	0.1000556261
89	0.099992148
90	0.09996410486
91	0.09993302969
92	0.09991701502
93	0.09987060758
94	0.09983851255
95	0.09978955799
96	0.09975070522
97	0.09971727992
98	0.09968988761
99	0.0996679142
