iter	Passed	Remaining
0	10	1030
1	18	899
2	28	919
3	37	893
4	45	858
5	55	864
6	62	835
7	73	847
8	81	822
9	90	813
10	99	806
11	107	791
12	118	795
13	126	778
14	136	775
15	148	781
16	157	768
17	170	776
18	181	775
19	189	759
20	199	750
21	208	737
22	216	725
23	227	720
24	235	707
25	246	702
26	257	696
27	266	684
28	277	679
29	285	666
30	294	655
31	304	647
32	314	638
33	324	629
34	333	619
35	341	606
36	352	599
37	359	586
38	370	579
39	379	569
40	387	557
41	399	551
42	406	539
43	416	530
44	424	519
45	432	508
46	443	500
47	452	490
48	462	481
49	471	471
50	479	460
51	527	486
52	555	492
53	570	485
54	580	475
55	608	477
56	617	465
57	627	454
58	634	440
59	645	430
60	652	417
61	663	406
62	672	394
63	680	382
64	691	372
65	699	360
66	709	349
67	719	338
68	728	327
69	740	317
70	751	306
71	760	295
72	770	284
73	777	273
74	788	262
75	799	252
76	806	241
77	817	230
78	825	219
79	834	208
80	843	197
81	851	186
82	863	176
83	871	165
84	881	155
85	891	145
86	899	134
87	910	124
88	917	113
89	927	103
90	936	92
91	945	82
92	956	72
93	964	61
94	973	51
95	983	40
96	990	30
97	1001	20
98	1008	10
99	1021	0
